날짜 및 시간 : 2025-07-16 11:57:42, 내부 온도 : 18, 외부 온도 : 15, 내부 습도 : 57, 외부 광량 : 714, 내부 CO2농도 : 0.040, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:01:45, 내부 온도 : 18, 외부 온도 : 8, 내부 습도 : 54, 외부 광량 : 580, 내부 CO2농도 : 0.096, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:01:50, 내부 온도 : 21, 외부 온도 : 14, 내부 습도 : 56, 외부 광량 : 661, 내부 CO2농도 : 0.085, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:01:55, 내부 온도 : 24, 외부 온도 : 19, 내부 습도 : 60, 외부 광량 : 534, 내부 CO2농도 : 0.053, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:02:00, 내부 온도 : 18, 외부 온도 : 21, 내부 습도 : 53, 외부 광량 : 641, 내부 CO2농도 : 0.054, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:02:05, 내부 온도 : 28, 외부 온도 : 12, 내부 습도 : 55, 외부 광량 : 576, 내부 CO2농도 : 0.033, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:02:10, 내부 온도 : 24, 외부 온도 : 8, 내부 습도 : 50, 외부 광량 : 584, 내부 CO2농도 : 0.054, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:02:15, 내부 온도 : 27, 외부 온도 : 6, 내부 습도 : 57, 외부 광량 : 617, 내부 CO2농도 : 0.035, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:02:20, 내부 온도 : 22, 외부 온도 : 1, 내부 습도 : 51, 외부 광량 : 528, 내부 CO2농도 : 0.046, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:02:25, 내부 온도 : 29, 외부 온도 : 21, 내부 습도 : 60, 외부 광량 : 591, 내부 CO2농도 : 0.079, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:02:30, 내부 온도 : 29, 외부 온도 : 5, 내부 습도 : 59, 외부 광량 : 702, 내부 CO2농도 : 0.099, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:02:35, 내부 온도 : 26, 외부 온도 : 19, 내부 습도 : 52, 외부 광량 : 539, 내부 CO2농도 : 0.041, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:02:40, 내부 온도 : 27, 외부 온도 : 13, 내부 습도 : 50, 외부 광량 : 714, 내부 CO2농도 : 0.047, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:02:45, 내부 온도 : 30, 외부 온도 : 21, 내부 습도 : 59, 외부 광량 : 582, 내부 CO2농도 : 0.055, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:02:50, 내부 온도 : 27, 외부 온도 : 6, 내부 습도 : 60, 외부 광량 : 711, 내부 CO2농도 : 0.071, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:02:55, 내부 온도 : 25, 외부 온도 : 5, 내부 습도 : 60, 외부 광량 : 557, 내부 CO2농도 : 0.090, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:03:00, 내부 온도 : 28, 외부 온도 : 16, 내부 습도 : 58, 외부 광량 : 590, 내부 CO2농도 : 0.028, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:03:05, 내부 온도 : 19, 외부 온도 : 21, 내부 습도 : 56, 외부 광량 : 712, 내부 CO2농도 : 0.048, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:03:10, 내부 온도 : 19, 외부 온도 : 6, 내부 습도 : 54, 외부 광량 : 607, 내부 CO2농도 : 0.074, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:03:15, 내부 온도 : 19, 외부 온도 : 1, 내부 습도 : 54, 외부 광량 : 503, 내부 CO2농도 : 0.080, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:03:20, 내부 온도 : 25, 외부 온도 : 0, 내부 습도 : 56, 외부 광량 : 671, 내부 CO2농도 : 0.043, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:03:25, 내부 온도 : 19, 외부 온도 : 10, 내부 습도 : 54, 외부 광량 : 500, 내부 CO2농도 : 0.046, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:03:30, 내부 온도 : 18, 외부 온도 : 10, 내부 습도 : 53, 외부 광량 : 671, 내부 CO2농도 : 0.040, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:03:35, 내부 온도 : 25, 외부 온도 : 10, 내부 습도 : 54, 외부 광량 : 543, 내부 CO2농도 : 0.068, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:03:40, 내부 온도 : 26, 외부 온도 : 16, 내부 습도 : 50, 외부 광량 : 641, 내부 CO2농도 : 0.029, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:03:45, 내부 온도 : 19, 외부 온도 : 14, 내부 습도 : 52, 외부 광량 : 710, 내부 CO2농도 : 0.076, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:03:50, 내부 온도 : 29, 외부 온도 : 2, 내부 습도 : 56, 외부 광량 : 504, 내부 CO2농도 : 0.088, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:03:55, 내부 온도 : 29, 외부 온도 : 4, 내부 습도 : 53, 외부 광량 : 637, 내부 CO2농도 : 0.029, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:04:00, 내부 온도 : 24, 외부 온도 : 14, 내부 습도 : 54, 외부 광량 : 546, 내부 CO2농도 : 0.071, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:04:05, 내부 온도 : 30, 외부 온도 : 0, 내부 습도 : 59, 외부 광량 : 611, 내부 CO2농도 : 0.062, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:04:10, 내부 온도 : 29, 외부 온도 : 8, 내부 습도 : 56, 외부 광량 : 599, 내부 CO2농도 : 0.046, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:04:15, 내부 온도 : 25, 외부 온도 : 12, 내부 습도 : 56, 외부 광량 : 650, 내부 CO2농도 : 0.078, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:04:20, 내부 온도 : 21, 외부 온도 : 16, 내부 습도 : 55, 외부 광량 : 533, 내부 CO2농도 : 0.072, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:04:25, 내부 온도 : 28, 외부 온도 : 0, 내부 습도 : 59, 외부 광량 : 656, 내부 CO2농도 : 0.026, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:04:30, 내부 온도 : 21, 외부 온도 : 21, 내부 습도 : 54, 외부 광량 : 715, 내부 CO2농도 : 0.096, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:04:35, 내부 온도 : 18, 외부 온도 : 18, 내부 습도 : 54, 외부 광량 : 551, 내부 CO2농도 : 0.082, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:04:40, 내부 온도 : 23, 외부 온도 : 17, 내부 습도 : 59, 외부 광량 : 505, 내부 CO2농도 : 0.028, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:04:45, 내부 온도 : 20, 외부 온도 : 12, 내부 습도 : 58, 외부 광량 : 694, 내부 CO2농도 : 0.049, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:04:50, 내부 온도 : 24, 외부 온도 : 14, 내부 습도 : 57, 외부 광량 : 655, 내부 CO2농도 : 0.052, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:04:55, 내부 온도 : 22, 외부 온도 : 3, 내부 습도 : 59, 외부 광량 : 656, 내부 CO2농도 : 0.099, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:05:00, 내부 온도 : 28, 외부 온도 : 20, 내부 습도 : 56, 외부 광량 : 701, 내부 CO2농도 : 0.073, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:05:05, 내부 온도 : 21, 외부 온도 : 9, 내부 습도 : 56, 외부 광량 : 585, 내부 CO2농도 : 0.088, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:05:10, 내부 온도 : 26, 외부 온도 : 21, 내부 습도 : 54, 외부 광량 : 709, 내부 CO2농도 : 0.058, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:05:15, 내부 온도 : 20, 외부 온도 : 6, 내부 습도 : 50, 외부 광량 : 706, 내부 CO2농도 : 0.078, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:05:20, 내부 온도 : 22, 외부 온도 : 12, 내부 습도 : 51, 외부 광량 : 517, 내부 CO2농도 : 0.068, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:05:25, 내부 온도 : 28, 외부 온도 : 11, 내부 습도 : 56, 외부 광량 : 625, 내부 CO2농도 : 0.071, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:05:30, 내부 온도 : 21, 외부 온도 : 14, 내부 습도 : 60, 외부 광량 : 664, 내부 CO2농도 : 0.022, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:05:35, 내부 온도 : 22, 외부 온도 : 7, 내부 습도 : 55, 외부 광량 : 513, 내부 CO2농도 : 0.048, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:05:40, 내부 온도 : 19, 외부 온도 : 15, 내부 습도 : 52, 외부 광량 : 591, 내부 CO2농도 : 0.031, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:05:45, 내부 온도 : 20, 외부 온도 : 1, 내부 습도 : 52, 외부 광량 : 509, 내부 CO2농도 : 0.056, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:05:50, 내부 온도 : 19, 외부 온도 : 19, 내부 습도 : 56, 외부 광량 : 534, 내부 CO2농도 : 0.072, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:05:55, 내부 온도 : 22, 외부 온도 : 12, 내부 습도 : 55, 외부 광량 : 587, 내부 CO2농도 : 0.067, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:06:00, 내부 온도 : 27, 외부 온도 : 2, 내부 습도 : 56, 외부 광량 : 625, 내부 CO2농도 : 0.090, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:06:05, 내부 온도 : 26, 외부 온도 : 20, 내부 습도 : 56, 외부 광량 : 612, 내부 CO2농도 : 0.098, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:06:10, 내부 온도 : 26, 외부 온도 : 7, 내부 습도 : 53, 외부 광량 : 641, 내부 CO2농도 : 0.027, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:06:15, 내부 온도 : 29, 외부 온도 : 0, 내부 습도 : 55, 외부 광량 : 674, 내부 CO2농도 : 0.098, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:06:20, 내부 온도 : 20, 외부 온도 : 8, 내부 습도 : 59, 외부 광량 : 508, 내부 CO2농도 : 0.071, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:06:25, 내부 온도 : 27, 외부 온도 : 5, 내부 습도 : 59, 외부 광량 : 550, 내부 CO2농도 : 0.083, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:06:30, 내부 온도 : 30, 외부 온도 : 9, 내부 습도 : 59, 외부 광량 : 520, 내부 CO2농도 : 0.061, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:06:35, 내부 온도 : 22, 외부 온도 : 19, 내부 습도 : 58, 외부 광량 : 514, 내부 CO2농도 : 0.063, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:06:40, 내부 온도 : 29, 외부 온도 : 21, 내부 습도 : 60, 외부 광량 : 631, 내부 CO2농도 : 0.047, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:06:45, 내부 온도 : 27, 외부 온도 : 19, 내부 습도 : 60, 외부 광량 : 519, 내부 CO2농도 : 0.030, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:06:50, 내부 온도 : 27, 외부 온도 : 21, 내부 습도 : 54, 외부 광량 : 641, 내부 CO2농도 : 0.033, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:06:55, 내부 온도 : 26, 외부 온도 : 13, 내부 습도 : 55, 외부 광량 : 704, 내부 CO2농도 : 0.100, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:07:01, 내부 온도 : 23, 외부 온도 : 7, 내부 습도 : 53, 외부 광량 : 552, 내부 CO2농도 : 0.045, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:07:06, 내부 온도 : 20, 외부 온도 : 12, 내부 습도 : 51, 외부 광량 : 682, 내부 CO2농도 : 0.021, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:07:11, 내부 온도 : 24, 외부 온도 : 18, 내부 습도 : 56, 외부 광량 : 547, 내부 CO2농도 : 0.068, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:07:16, 내부 온도 : 29, 외부 온도 : 15, 내부 습도 : 56, 외부 광량 : 512, 내부 CO2농도 : 0.088, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:07:21, 내부 온도 : 30, 외부 온도 : 8, 내부 습도 : 53, 외부 광량 : 558, 내부 CO2농도 : 0.060, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:07:26, 내부 온도 : 23, 외부 온도 : 9, 내부 습도 : 52, 외부 광량 : 715, 내부 CO2농도 : 0.065, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:07:31, 내부 온도 : 28, 외부 온도 : 10, 내부 습도 : 53, 외부 광량 : 661, 내부 CO2농도 : 0.025, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:07:36, 내부 온도 : 22, 외부 온도 : 2, 내부 습도 : 58, 외부 광량 : 548, 내부 CO2농도 : 0.086, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:07:41, 내부 온도 : 18, 외부 온도 : 15, 내부 습도 : 51, 외부 광량 : 624, 내부 CO2농도 : 0.080, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:07:46, 내부 온도 : 23, 외부 온도 : 21, 내부 습도 : 50, 외부 광량 : 507, 내부 CO2농도 : 0.054, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:07:51, 내부 온도 : 28, 외부 온도 : 13, 내부 습도 : 50, 외부 광량 : 501, 내부 CO2농도 : 0.052, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:07:56, 내부 온도 : 30, 외부 온도 : 18, 내부 습도 : 50, 외부 광량 : 626, 내부 CO2농도 : 0.028, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:08:46, 내부 온도 : 19, 외부 온도 : 7, 내부 습도 : 58, 외부 광량 : 707, 내부 CO2농도 : 0.050, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:08:46, 내부 온도 : 27, 외부 온도 : 9, 내부 습도 : 57, 외부 광량 : 602, 내부 CO2농도 : 0.053, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:08:51, 내부 온도 : 27, 외부 온도 : 12, 내부 습도 : 51, 외부 광량 : 585, 내부 CO2농도 : 0.040, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:08:56, 내부 온도 : 29, 외부 온도 : 17, 내부 습도 : 52, 외부 광량 : 708, 내부 CO2농도 : 0.086, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:09:01, 내부 온도 : 19, 외부 온도 : 20, 내부 습도 : 55, 외부 광량 : 626, 내부 CO2농도 : 0.073, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:09:06, 내부 온도 : 29, 외부 온도 : 5, 내부 습도 : 54, 외부 광량 : 660, 내부 CO2농도 : 0.087, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:09:11, 내부 온도 : 24, 외부 온도 : 2, 내부 습도 : 59, 외부 광량 : 582, 내부 CO2농도 : 0.095, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:09:16, 내부 온도 : 24, 외부 온도 : 19, 내부 습도 : 60, 외부 광량 : 673, 내부 CO2농도 : 0.078, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:09:21, 내부 온도 : 30, 외부 온도 : 4, 내부 습도 : 59, 외부 광량 : 573, 내부 CO2농도 : 0.094, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:09:26, 내부 온도 : 26, 외부 온도 : 4, 내부 습도 : 57, 외부 광량 : 652, 내부 CO2농도 : 0.036, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:09:31, 내부 온도 : 24, 외부 온도 : 10, 내부 습도 : 54, 외부 광량 : 650, 내부 CO2농도 : 0.050, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:09:36, 내부 온도 : 20, 외부 온도 : 5, 내부 습도 : 54, 외부 광량 : 643, 내부 CO2농도 : 0.057, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:09:41, 내부 온도 : 18, 외부 온도 : 12, 내부 습도 : 50, 외부 광량 : 663, 내부 CO2농도 : 0.058, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:09:46, 내부 온도 : 22, 외부 온도 : 9, 내부 습도 : 58, 외부 광량 : 567, 내부 CO2농도 : 0.099, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:09:51, 내부 온도 : 28, 외부 온도 : 13, 내부 습도 : 58, 외부 광량 : 572, 내부 CO2농도 : 0.059, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:09:56, 내부 온도 : 27, 외부 온도 : 20, 내부 습도 : 56, 외부 광량 : 656, 내부 CO2농도 : 0.033, 내부 O2농도 : 6
